Keyword,Code URL,Repository,File Path
ethics,https://github.com/papers-we-love/papers-we-love/blob/5cb34998867ee320543ae0b653bd5c7a1df70a77/ethics/README.md,papers-we-love/papers-we-love,ethics/README.md
ethics,https://github.com/nikitavoloboev/knowledge/blob/7c4bbc755c64368a82ca22b76566e9153cd2e377/docs/philosophy/ethics.md,nikitavoloboev/knowledge,docs/philosophy/ethics.md
ethics,https://github.com/microsoft/Data-Science-For-Beginners/blob/a51de08fdba5091c4538d08d7d69f5987c464b03/1-Introduction/02-ethics/assignment.md,microsoft/Data-Science-For-Beginners,1-Introduction/02-ethics/assignment.md
ethics,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/books/free-programming-books-subjects.md,EbookFoundation/free-programming-books,books/free-programming-books-subjects.md
ethics,https://github.com/DefinitelyTyped/DefinitelyTyped/blob/b9099626c2a673bb773db68342fdf02f5a294236/types/carbon__pictograms-react/es/ai--ethics/index.d.ts,DefinitelyTyped/DefinitelyTyped,types/carbon__pictograms-react/es/ai--ethics/index.d.ts
ethics,https://github.com/google-research/google-research/blob/d4806d2af200f9f5fe26727f4a5cfb1f685b43d1/drawtext/drawtext_creative/2_words.txt,google-research/google-research,drawtext/drawtext_creative/2_words.txt
ethics,https://github.com/WebAssembly/design/blob/1319968ca53fb5c7e7ea6cc210c7b0ed46566a45/Contributing.md,WebAssembly/design,Contributing.md
ethics,https://github.com/ohmyzsh/ohmyzsh/blob/b6bb133f230847ed0b3f9f4e25f2ceb874ca6c91/plugins/hitchhiker/fortunes/hitchhiker,ohmyzsh/ohmyzsh,plugins/hitchhiker/fortunes/hitchhiker
ethics,https://github.com/gatsbyjs/gatsby/blob/22c24122f321d60011aec7daec86a1ccf89e994d/examples/using-gatsby-image/src/components/ipsum.js,gatsbyjs/gatsby,examples/using-gatsby-image/src/components/ipsum.js
ethics,https://github.com/google/fonts/blob/ce98c9af47c2e0d8c6dfec69647d6ce6cd9973d9/ofl/aldrich/FONTLOG.txt,google/fonts,ofl/aldrich/FONTLOG.txt
ml fairness,https://github.com/girliemac/a-picture-is-worth-a-1000-words/blob/6bc5c6029c77aff7be909cc4da046a3104858dd2/ml/README.md,girliemac/a-picture-is-worth-a-1000-words,ml/README.md
ml fairness,https://github.com/google-research/google-research/blob/d4806d2af200f9f5fe26727f4a5cfb1f685b43d1/tide_nlp/README.md,google-research/google-research,tide_nlp/README.md
ml fairness,https://github.com/microsoft/ML-For-Beginners/blob/66f57d692489c12169a1e430e692b666c436de02/docs/_sidebar.md,microsoft/ML-For-Beginners,docs/_sidebar.md
ml fairness,https://github.com/facebook/infer/blob/272c58d0b0589e54181f7ea20c4b7d027ef71c50/infer/src/base/ProcessPool.ml,facebook/infer,infer/src/base/ProcessPool.ml
ml fairness,https://github.com/tensorflow/tensorflow/blob/eca4c36692a0f04f085ac6c01209e3f0ad915f49/tensorflow/python/BUILD,tensorflow/tensorflow,tensorflow/python/BUILD
ml fairness,https://github.com/dotnet/machinelearning/blob/796cb354fbb2e6d1ca6c3c8c6125fe967d37ba73/ROADMAP.md,dotnet/machinelearning,ROADMAP.md
ml fairness,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/courses/free-courses-en.md,EbookFoundation/free-programming-books,courses/free-courses-en.md
ml fairness,https://github.com/aws/amazon-sagemaker-examples/blob/720198bc25bc68b25a77c3c5a1e7f55ee1bd8e5a/index.rst,aws/amazon-sagemaker-examples,index.rst
ml fairness,https://github.com/torvalds/linux/blob/89cdf9d556016a54ff6ddd62324aa5ec790c05cc/arch/powerpc/Kconfig,torvalds/linux,arch/powerpc/Kconfig
ml fairness,https://github.com/apache/dubbo/blob/2ca55a6fad15b83d2bc9f8535c2484ff44bbf684/CONTRIBUTING.md,apache/dubbo,CONTRIBUTING.md
ML Ethics,https://github.com/nikitavoloboev/knowledge/blob/7c4bbc755c64368a82ca22b76566e9153cd2e377/docs/philosophy/ethics.md,nikitavoloboev/knowledge,docs/philosophy/ethics.md
ML Ethics,https://github.com/huggingface/blog/blob/63cee6e9a04e398b3529e10371d03960247c50ba/ethics-soc-3.md,huggingface/blog,ethics-soc-3.md
ML Ethics,https://github.com/microsoft/code-with-engineering-playbook/blob/7c075aac23cb33ef6d411eb1857c95be5e67b49c/docs/machine-learning/ml-tpm-guidance.md,microsoft/code-with-engineering-playbook,docs/machine-learning/ml-tpm-guidance.md
ML Ethics,"https://github.com/tirthajyoti/Papers-Literature-ML-DL-RL-AI/blob/93d29ed7f6f7d927ee9be5763aacb0a8c32e3c56/Fairness,%20Bias,%20Ethics%20in%20AI%20and%20ML/Readme.md",tirthajyoti/Papers-Literature-ML-DL-RL-AI,"Fairness, Bias, Ethics in AI and ML/Readme.md"
ML Ethics,https://github.com/The-Art-of-Hacking/h4cker/blob/8e0097a56b0108102efcd6cb0091bd77023f81d3/ai_research/ethics_privacy/README.md,The-Art-of-Hacking/h4cker,ai_research/ethics_privacy/README.md
ML Ethics,https://github.com/tidyverse/datascience-box/blob/1a265f3b8baaa25a9d6dfa3961018c13f3cc5634/02-ethics.qmd,tidyverse/datascience-box,02-ethics.qmd
ML Ethics,https://github.com/ml4a/ml4a.github.io/blob/07ab41737671cb336c1e4df9978da2983cbbf52e/_book/ethics.md,ml4a/ml4a.github.io,_book/ethics.md
ML Ethics,https://github.com/danielmiessler/SecLists/blob/395c945627196b6172e6e83a014c964f805e8d48/Discovery/Web-Content/big.txt,danielmiessler/SecLists,Discovery/Web-Content/big.txt
ML Ethics,https://github.com/yt-dlp/yt-dlp/blob/10025b715ea01489557eb2c5a3cc04d361fcdb52/yt_dlp/extractor/slideslive.py,yt-dlp/yt-dlp,yt_dlp/extractor/slideslive.py
ML Ethics,https://github.com/schemaorg/schemaorg/blob/00d79f32bdcda5b57a18375c226e32473ae6d227/docs/howwework.html,schemaorg/schemaorg,docs/howwework.html
Ethical ML,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/courses/free-courses-ml.md,EbookFoundation/free-programming-books,courses/free-courses-ml.md
Ethical ML,https://github.com/microsoft/code-with-engineering-playbook/blob/7c075aac23cb33ef6d411eb1857c95be5e67b49c/docs/machine-learning/ml-model-checklist.md,microsoft/code-with-engineering-playbook,docs/machine-learning/ml-model-checklist.md
Ethical ML,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/blob/2cc62bd82b5ba9d01c02636ac483d6443672f90c/images/big_data_engineer.xml,AMAI-GmbH/AI-Expert-Roadmap,images/big_data_engineer.xml
Ethical ML,https://github.com/EthicalML/awesome-production-machine-learning/blob/772b0e26a4a4719758d8dc5ddf2e405d4d73003e/README.md,EthicalML/awesome-production-machine-learning,README.md
Ethical ML,https://github.com/ml-tooling/best-of-ml-python/blob/75804011107f473be846f4a337d87c7bbb48981a/projects.yaml,ml-tooling/best-of-ml-python,projects.yaml
Ethical ML,https://github.com/GitHubDaily/GitHubDaily/blob/db736d3f9e70e6d5f8c12629bf64e3fb7374c5f5/2020.md,GitHubDaily/GitHubDaily,2020.md
Ethical ML,https://github.com/jphall663/awesome-machine-learning-interpretability/blob/d211ecb14de39ef5b970059cef321b969129dc59/archive/README.md.bak,jphall663/awesome-machine-learning-interpretability,archive/README.md.bak
Ethical ML,https://github.com/gitlabhq/gitlabhq/blob/0abbeedd2fe28913033e91964d355addbc8a9746/doc/development/secure_coding_guidelines.md,gitlabhq/gitlabhq,doc/development/secure_coding_guidelines.md
Ethical ML,https://github.com/MicrosoftDocs/azure-docs/blob/9528517bda06092ca2d61a3eebfb6b49c8456dff/articles/lab-services/class-type-ethical-hacking.md,MicrosoftDocs/azure-docs,articles/lab-services/class-type-ethical-hacking.md
Ethical ML,https://github.com/thomaspark/bootswatch/blob/2f248e99296bb8ffe4c36088f5b2b5f99c1d40f4/docs/4/lux/index.html,thomaspark/bootswatch,docs/4/lux/index.html
Machine learning bias,https://github.com/dmlc/xgboost/blob/6fd4a306670fa82da06b42ef217705eefd97cbcd/doc/tutorials/learning_to_rank.rst,dmlc/xgboost,doc/tutorials/learning_to_rank.rst
Machine learning bias,https://github.com/JaeYeopHan/Interview_Question_for_Beginner/blob/9e8666e501211c629ef07f893765da4c99f97145/MachineLearning/README.md,JaeYeopHan/Interview_Question_for_Beginner,MachineLearning/README.md
Machine learning bias,https://github.com/sindresorhus/awesome/blob/8e71414aea13959f183b193f0bb62b1034c44fb4/readme.md,sindresorhus/awesome,readme.md
Machine learning bias,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/casts/free-podcasts-screencasts-en.md,EbookFoundation/free-programming-books,casts/free-podcasts-screencasts-en.md
Machine learning bias,https://github.com/scikit-learn/scikit-learn/blob/e5178c53e6c81fa98d974cddbf1d79788a9885bd/doc/modules/sgd.rst,scikit-learn/scikit-learn,doc/modules/sgd.rst
Machine learning bias,https://github.com/d2l-ai/d2l-zh/blob/e6b18ccea71451a55fcd861d7b96fddf2587b09a/TERMINOLOGY.md,d2l-ai/d2l-zh,TERMINOLOGY.md
Machine learning bias,https://github.com/apache/spark/blob/a566099133ff38cd1b2cd2fe64879bf0ba75fa9b/docs/mllib-ensembles.md,apache/spark,docs/mllib-ensembles.md
Machine learning bias,https://github.com/tensorflow/tensorflow/blob/eca4c36692a0f04f085ac6c01209e3f0ad915f49/tensorflow/python/ops/nn_impl.py,tensorflow/tensorflow,tensorflow/python/ops/nn_impl.py
Machine learning bias,https://github.com/dotnet/machinelearning/blob/796cb354fbb2e6d1ca6c3c8c6125fe967d37ba73/ROADMAP.md,dotnet/machinelearning,ROADMAP.md
Machine learning bias,https://github.com/exacity/deeplearningbook-chinese/blob/a03e98d2298528a13779f9fc4c8e7f8c1bd204f7/Chapter7/regularization.tex,exacity/deeplearningbook-chinese,Chapter7/regularization.tex
AI bias,https://github.com/sindresorhus/awesome/blob/8e71414aea13959f183b193f0bb62b1034c44fb4/readme.md,sindresorhus/awesome,readme.md
AI bias,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/docs/CONTRIBUTING-id.md,EbookFoundation/free-programming-books,docs/CONTRIBUTING-id.md
AI bias,https://github.com/996icu/996.ICU/blob/908c19b4517fd406bf9d567b64bcd1fe79112a7b/i18n/my_MY.md,996icu/996.ICU,i18n/my_MY.md
AI bias,https://github.com/trekhleb/javascript-algorithms/blob/76617fa83ac9a8519f20c7a9c938e2d8ef2fd512/README.id-ID.md,trekhleb/javascript-algorithms,README.id-ID.md
AI bias,https://github.com/getify/You-Dont-Know-JS/blob/85b2e6c5fa03b95d044015d6e44b72b8beb6a53b/types-grammar/ch4.md,getify/You-Dont-Know-JS,types-grammar/ch4.md
AI bias,https://github.com/torvalds/linux/blob/89cdf9d556016a54ff6ddd62324aa5ec790c05cc/net/sched/sch_htb.c,torvalds/linux,net/sched/sch_htb.c
AI bias,https://github.com/jwasham/coding-interview-university/blob/3dd73945ccb985ea53bc8e99645d0002b18ff5f8/translations/README-id.md,jwasham/coding-interview-university,translations/README-id.md
AI bias,https://github.com/RadeonOpenCompute/ROCK-Kernel-Driver/blob/2a83b3a166ea27e10b5ecb9292965082f31c6b12/io_uring/poll.c,RadeonOpenCompute/ROCK-Kernel-Driver,io_uring/poll.c
AI bias,https://github.com/baidu-research/tensorflow-allreduce/blob/66d5b855e90b0949e9fa5cca5599fd729a70e874/RELEASE.md,baidu-research/tensorflow-allreduce,RELEASE.md
AI bias,https://github.com/SoftRoCE/rxe-dev/blob/ec91e948b67c2075cfe2d9b255b74d7e5a225064/mm/shmem.c,SoftRoCE/rxe-dev,mm/shmem.c
AI Fairness,https://github.com/EbookFoundation/free-programming-books/blob/0cd36b58b8127c491e3d6f1fd0a750841c04a483/courses/free-courses-en.md,EbookFoundation/free-programming-books,courses/free-courses-en.md
