Keyword,Repository Name,Author,Message,Commit URL
ethics,sunyixin1/rws-group-2-dashboard,sunyixin1,Rename Ethics.py to 3.Ethics.py,https://github.com/sunyixin1/rws-group-2-dashboard/commit/ab0ff8e7fcdcee9afdd1b290c66113420accf45b
ethics,Tenneteu/Ten_Custom,Tenneteu,"Change Ethics mod

Added Change Ethics mod",https://github.com/Tenneteu/Ten_Custom/commit/d4247f225d8fef2d173ce8f88a24aa10403eb987
ethics,ap-southeast-2/wiki,ap-southeast-2,Rename CISSP Ethics.md to CISSP/CISSP Ethics.md,https://github.com/ap-southeast-2/wiki/commit/6482f0f7bc2f83889b369951971a43c32c880af9
ethics,NULabNortheastern/digitalassignmentshowcase,Sean P. Rogers,Delete handouts/data-ethics/Handout-Data_Ethics.pdf,https://github.com/NULabNortheastern/digitalassignmentshowcase/commit/1a17e466c7e1873f53a12680962ee4f5e0975d14
ethics,swardley/MAP-REPOSITORY,swardley,Rename healthcare/healthcare-ethics to healthcare/additions/healthcare-ethics,https://github.com/swardley/MAP-REPOSITORY/commit/8802caf93d6f747c3e0d6978d11ea4f9e14708b3
ethics,RealityBending/IllusionGameInternational,YanaDegtyareva,"Update ethics

Added an ethics form with a general description of the study.",https://github.com/RealityBending/IllusionGameInternational/commit/5b332ad1cf9d126d61d64bee66e72dc41636ae61
ethics,CS-UoB-Individual-Project/CS-UoB-Individual-Project.github.io,Michael Wray,Updates links to template and participant information sheets/ethics sheets for projects which need ethics,https://github.com/CS-UoB-Individual-Project/CS-UoB-Individual-Project.github.io/commit/6179b2eee153525d5f38dadaf383950d7441a55c
ethics,1123Alessandro/Las-Notas,Alessandro,"Merge pull request #8 from 1123Alessandro/ethics

Ethics Questions",https://github.com/1123Alessandro/Las-Notas/commit/c3acceca67b9960708fb7b9fe7c977ebaeaacb3f
ethics,huggingface/blog,meg,"Update ethics-soc-5.md (#1536)

* Update ethics-soc-5.md

WIP!

* Update ethics-soc-5.md

* Update ethics-soc-5.md

* Update ethics-soc-5.md

Adding links to people.

* Update ethics-soc-5.md

Adding metadata

* Update ethics-soc-5.md

Adding metadata

* Update ethics-soc-5.md

metadata

* Assets additions

* thumbnail

* Update _blog.yml (#1537)

* Update ethics-soc-5.md

Finalizing content.

* Update ethics-soc-5.md

Co-authored-by: Pedro Cuenca <pedro@huggingface.co>

* Update ethics-soc-5.md

Adding ""part of a"" to the WSJ op-ed sentence, following Pedro's realisation it's not the whole piece! (Oops!)

* Update ethics-soc-5.md

Remove extraneous subsection link.

* Create why_open.md

md version of https://docs.google.com/document/d/1qWI32b8FGchrxcxpHGP2OmxOd0BZu9BgzqhMM9X0D2M

* Update ethics-soc-5.md

Adding link to Polina's tweet on her work.

---------

Co-authored-by: Pedro Cuenca <pedro@huggingface.co>",https://github.com/huggingface/blog/commit/4d7ae1ed65f4e3ac3cf706a451624ad998389aee
ethics,byronhillstrom/byronhillstrom.github.io,Byron Hillstrom,Rename Intro_to_Data_Ethics.md to 2023-10-13-Intro-to-Data-Ethics.md,https://github.com/byronhillstrom/byronhillstrom.github.io/commit/37919eee3f78fd01316cada9703a98c4cc432461
ml fairness,KANUBALAD/ML-Fairness-in-School-DropOut-,Alidu Abubakari,Merge branch 'main' of https://github.com/KANUBALAD/ML-Fairness-in-School-DropOut-,https://github.com/KANUBALAD/ML-Fairness-in-School-DropOut-/commit/9a1c3c28865ceb79224da5a71625759f4f0eba76
