Keyword,Title,URL
ethics,[SIG] add ethics dataset,https://github.com/open-compass/opencompass/pull/495
ethics,Feat: Create header and navbar,https://github.com/phil208-ethics-project/phil208-ethics-project.github.io/pull/2
ethics,Migrate ARR Cycles to Independent API2 Requests,https://github.com/openreview/openreview-py/pull/1836
ethics,[Concept Entry] AI: ai-ethics.md,https://github.com/Codecademy/docs/pull/3690
ethics,Amendments related to the Code of Ethics,https://github.com/systbiol/docs/pull/9
ethics,Update 03_ethics.ipynb,https://github.com/fastai/fastbook/pull/616
ethics,Adminissions code of ethics,https://github.com/Dental-Integrators-Association/diadocs/pull/18
ethics,Added new flashcards for Ethics finals_From_Kiyoshi,https://github.com/1123Alessandro/Las-Notas/pull/10
ethics,Ethics Guideline ,https://github.com/CorrelAid/docs/pull/2
ethics,Change ethics,https://github.com/Quikko/glossier/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/HavaleShreyash/microsoft-ml-crl/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/phanquanghung/ML-For-Beginners/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/Aisuko/ML-For-Beginners/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/Cachiman/Zmas-ai-samples/pull/1
ml fairness,"A few bugs involved ""tests.sh""",https://github.com/google/ml-fairness-gym/pull/5
ml fairness,[ImgBot] Optimize images,https://github.com/kangnurrohman/ML-For-Beginners/pull/1
ml fairness,Sourcery Starbot ⭐ refactored josephw-ml/model-analysis,https://github.com/josephw-ml/model-analysis/pull/2
ml fairness,[ImgBot] Optimize images,https://github.com/nuttanichaphosuk/vertex-ai-samples/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/princeanire/ML-For-Beginners/pull/1
ml fairness,[ImgBot] Optimize images,https://github.com/shi-srivastava/ML-For-Beginners/pull/1
ML Ethics,[ImgBot] Optimize images,https://github.com/mtdowner/fullstackdeeplearning/pull/1
ML Ethics,Feedback for Philipp,https://github.com/binaricorn/mfadt-majorstudio-1/pull/2
ML Ethics,[WIP] Ethics informed licensing - extension of and partial re-write of the licening section in reproducible research,https://github.com/the-turing-way/the-turing-way/pull/3142
ML Ethics,Update README.md,https://github.com/summerscope/mapping-fair-ml/pull/2
ML Ethics,[ImgBot] Optimize images,https://github.com/iamhardikat11/ai4k12/pull/1
ML Ethics,PR for KingHan韩尚典 #K4uJOCdjUIcJlJ1tFmMg,https://github.com/Git-of-Thoughts/GoT-test/pull/515
ML Ethics,PR for KingHan韩尚典 #5UWBkWqxEIxqEUZ3Mkh1,https://github.com/Git-of-Thoughts/GoT-test/pull/514
ML Ethics,PR for Haohan Wang #TXeUzv7kt3Y6nndPNGU7,https://github.com/Git-of-Thoughts/GoT-test/pull/510
ML Ethics,PR for Haohan Wang #fxFA7TpwhKT37iGHaPPY,https://github.com/Git-of-Thoughts/GoT-test/pull/508
ML Ethics,[ImgBot] Optimize images,https://github.com/dendisuhubdy/seai/pull/1
Ethical ML,Add ERC: Content Consent for AI/ML Data Mining,https://github.com/ethereum/ERCs/pull/80
Ethical ML,[WIP] Ethics informed licensing - extension of and partial re-write of the licening section in reproducible research,https://github.com/the-turing-way/the-turing-way/pull/3142
Ethical ML,Create Why.md,https://github.com/bloominstituteoftechnology/ML-day_1/pull/9
Ethical ML,[ImgBot] Optimize images,https://github.com/Akanksha-codes/Coursify-hacktoberfest/pull/1
Ethical ML,[ImgBot] Optimize images,https://github.com/LaasriNadia/Coursify-hacktoberfest/pull/1
Ethical ML,[ImgBot] Optimize images,https://github.com/anirudhakulkarni/Coursify-hacktoberfest/pull/1
Ethical ML,feat: add new collection on review approval,https://github.com/Charlie-Foxtrot-AB/tech-radar-aggregator/pull/14
Ethical ML,[ImgBot] Optimize images,https://github.com/ishandeveloper/Coursify-hacktoberfest/pull/134
Ethical ML,[ImgBot] Optimize images,https://github.com/bhaveshgoyal182/Coursify-hacktoberfest/pull/1
Ethical ML,[ImgBot] Optimize images,https://github.com/s-ashwin/Coursify-hacktoberfest/pull/1
Machine learning bias,[ImgBot] Optimize images,https://github.com/faisal-fida/Data-Science-Cheatsheets/pull/1
Machine learning bias,"Allow setting per-layer learning rates""",https://github.com/Deci-AI/super-gradients/pull/1612
Machine learning bias,Update 5.2 of case-studies.html,https://github.com/Vivvns/V_undevelopers/pull/1
Machine learning bias,Amazing new feature PR: 1695301810,https://github.com/forest-town/repo-pano56/pull/2
Machine learning bias,Query engine for CMF,https://github.com/HewlettPackard/cmf/pull/131
Machine learning bias,[WIP] Machine learning topic,https://github.com/enkidevs/curriculum/pull/225
Machine learning bias,Add Human Bias blog,https://github.com/rootstrap/blog/pull/121
Machine learning bias,Python For DataScience and Machine Learning Bootcamp,https://github.com/fourbic/data_school/pull/38
Machine learning bias,Added Concept Visualisation in Probability,https://github.com/DS-AI-GATE/dsai-gate/pull/4
Machine learning bias,"Machine learning, Graph data, and user experience",https://github.com/wraybowling/wraybowling.com/pull/5
